,train,val,test
0,C3L-00009-21,C3L-00144-21,C3L-00001-21
1,C3L-00080-21,C3L-00568-21,C3L-00083-21
2,C3L-00081-21,C3L-00568-22,C3L-00603-21
3,C3L-00093-21,C3L-00568-23,C3L-00603-22
4,C3L-00094-21,C3L-00913-21,C3L-00923-23
5,C3L-00095-21,C3L-00913-22,C3L-00993-21
6,C3L-00095-22,C3L-00913-23,C3L-00993-22
7,C3L-00095-23,C3L-01682-21,C3L-00993-23
8,C3L-00140-21,C3L-01682-23,C3L-00993-24
9,C3L-00140-22,C3L-02127-21,C3L-01285-21
10,C3L-00263-21,C3L-02127-22,C3L-01285-22
11,C3L-00263-22,C3L-02127-23,C3L-01285-23
12,C3L-00263-23,C3L-02127-24,C3L-01330-21
13,C3L-00263-24,C3L-02170-21,C3L-01330-22
14,C3L-00263-25,C3L-02170-22,C3L-01330-23
15,C3L-00279-21,C3L-02170-23,C3L-01884-21
16,C3L-00279-22,C3L-02618-21,C3L-01884-22
17,C3L-00279-23,C3L-02618-22,C3L-01884-23
18,C3L-00368-21,C3L-02618-23,C3L-02130-21
19,C3L-00368-22,C3L-02618-24,C3L-02130-22
20,C3L-00412-21,C3L-02618-25,C3L-02130-23
21,C3L-00415-21,C3L-02834-21,C3L-02130-24
22,C3L-00415-23,C3L-02834-22,C3L-02515-21
23,C3L-00422-21,C3L-02834-23,C3L-02515-22
24,C3L-00422-22,C3L-02957-21,C3L-02515-23
25,C3L-00422-23,C3L-02957-22,C3L-02549-21
26,C3L-00444-21,C3L-02957-23,C3L-02549-22
27,C3L-00444-22,C3L-02968-22,C3L-02629-21
28,C3L-00444-23,C3L-03271-21,C3L-02629-22
29,C3L-00445-21,C3L-03271-22,C3L-02629-23
30,C3L-00445-25,C3L-03271-23,C3L-02629-24
31,C3L-00445-26,C3L-03642-21,C3L-02629-25
32,C3L-00446-21,C3L-03679-22,C3L-02891-21
33,C3L-00446-22,C3L-04033-21,C3L-02891-23
34,C3L-00446-23,C3L-04033-22,C3L-02967-21
35,C3L-00446-24,C3L-04033-23,C3L-02969-21
36,C3L-00503-21,C3L-04033-24,C3L-02969-22
37,C3L-00503-22,C3L-04033-25,C3L-03976-21
38,C3L-00503-23,C3L-04071-21,C3L-03976-22
39,C3L-00510-21,C3L-04071-23,C3L-03976-23
40,C3L-00510-22,C3L-04391-22,C3L-03976-24
41,C3L-00510-23,C3L-04391-23,C3L-03976-25
42,C3L-00604-21,C3L-04746-21,C3L-03987-21
43,C3L-00604-22,C3L-04746-22,C3L-03987-22
44,C3L-00604-23,C3L-04746-23,C3L-03987-23
45,C3L-00893-21,C3L-04746-24,C3L-03987-24
46,C3L-00893-22,C3L-04746-25,C3L-03987-25
47,C3L-00893-23,C3L-04781-21,C3L-04031-21
48,C3L-00904-21,C3L-04781-22,C3L-04031-22
49,C3L-00904-22,C3L-04781-23,C3L-04031-23
50,C3L-00927-21,C3L-04781-25,C3L-04031-24
51,C3L-00927-22,C3L-04874-21,C3L-04031-25
52,C3L-00927-23,C3L-04874-22,C3L-04079-21
53,C3L-00965-21,C3L-04874-23,C3L-04079-22
54,C3L-00965-22,C3L-04874-24,C3L-04854-21
55,C3L-00965-23,C3L-04874-25,C3L-04854-22
56,C3L-00965-24,C3L-04887-21,C3L-04854-23
57,C3L-00973-21,C3L-04887-22,C3L-04854-24
58,C3L-00973-22,C3L-04887-23,C3L-04854-25
59,C3L-00973-23,C3L-04887-24,C3L-04863-21
60,C3L-00973-24,C3L-04887-25,C3L-04863-22
61,C3L-00973-25,C3L-05399-21,C3L-04863-23
